phenoname,ancestry,trait_type,category,n_cases,n_controls,description,phecode_category,description_more
008,afr,binary,phecode,297,38741,Intestinal infection,Infectious,NA
008,amr,binary,phecode,320,30681,Intestinal infection,Infectious,NA
008,eur,binary,phecode,923,95256,Intestinal infection,Infectious,NA
038,afr,binary,phecode,694,38529,Septicemia,Infectious,NA
038,amr,binary,phecode,885,30201,Septicemia,Infectious,NA
038,eur,binary,phecode,1817,94461,Septicemia,Infectious,NA
041,afr,binary,phecode,1552,36116,Bacterial infection NOS,Infectious,NA
041,amr,binary,phecode,1282,28673,Bacterial infection NOS,Infectious,NA
041,eur,binary,phecode,3506,89625,Bacterial infection NOS,Infectious,NA
041.1,afr,binary,phecode,308,39593,Staphylococcus infections,Infectious,NA
041.1,amr,binary,phecode,265,31621,Staphylococcus infections,Infectious,NA
041.1,eur,binary,phecode,1095,96625,Staphylococcus infections,Infectious,NA
041.12,eur,binary,phecode,642,97813,Methicillin resistant Staphylococcus aureus,Infectious,NA
041.2,eur,binary,phecode,260,98019,Streptococcus infection,Infectious,NA
053,afr,binary,phecode,247,39604,Herpes zoster,Infectious,NA
053,eur,binary,phecode,1269,95069,Herpes zoster,Infectious,NA
054,afr,binary,phecode,661,38867,Herpes simplex,Infectious,NA
054,amr,binary,phecode,502,31034,Herpes simplex,Infectious,NA
054,eur,binary,phecode,1739,94949,Herpes simplex,Infectious,NA
070,afr,binary,phecode,1221,38563,Viral hepatitis,Infectious,NA
070,amr,binary,phecode,528,31284,Viral hepatitis,Infectious,NA
070,eur,binary,phecode,1573,96629,Viral hepatitis,Infectious,NA
070.3,afr,binary,phecode,1018,38924,Viral hepatitis C,Infectious,NA
070.3,amr,binary,phecode,432,31574,Viral hepatitis C,Infectious,NA
070.3,eur,binary,phecode,1330,97289,Viral hepatitis C,Infectious,NA
071,afr,binary,phecode,1232,38789,Human immunodeficiency virus [HIV] disease,Infectious,NA
071,amr,binary,phecode,350,31863,Human immunodeficiency virus [HIV] disease,Infectious,NA
071,eur,binary,phecode,530,98829,Human immunodeficiency virus [HIV] disease,Infectious,NA
071.1,afr,binary,phecode,617,39097,"HIV infection, symptomatic",Infectious,NA
071.1,eur,binary,phecode,324,98933,"HIV infection, symptomatic",Infectious,NA
078,afr,binary,phecode,451,38988,Viral warts & HPV,Infectious,NA
078,amr,binary,phecode,437,30929,Viral warts & HPV,Infectious,NA
078,eur,binary,phecode,3107,91440,Viral warts & HPV,Infectious,NA
079,afr,binary,phecode,1188,36038,Viral infection,Infectious,NA
079,amr,binary,phecode,1165,28435,Viral infection,Infectious,NA
079,eur,binary,phecode,3144,88168,Viral infection,Infectious,NA
079.1,eur,binary,phecode,264,98993,Varicella infection,Infectious,NA
090,afr,binary,phecode,497,38890,Sexually transmitted infections (not HIV or hepatitis),Infectious,NA
090,amr,binary,phecode,204,31643,Sexually transmitted infections (not HIV or hepatitis),Infectious,NA
090,eur,binary,phecode,267,98588,Sexually transmitted infections (not HIV or hepatitis),Infectious,NA
1000,afr,binary,phecode,383,40129,Burns,Null,NA
1000,amr,binary,phecode,258,32098,Burns,Null,NA
1000,eur,binary,phecode,906,98661,Burns,Null,NA
1001,afr,binary,phecode,302,40210,Foreign body injury,Null,NA
1001,eur,binary,phecode,1014,98553,Foreign body injury,Null,NA
1002,afr,binary,phecode,1324,39188,"Symptoms concerning nutrition, metabolism, and development",Null,NA
1002,amr,binary,phecode,692,31664,"Symptoms concerning nutrition, metabolism, and development",Null,NA
1002,eur,binary,phecode,3695,95872,"Symptoms concerning nutrition, metabolism, and development",Null,NA
1004,afr,binary,phecode,555,39957,Other signs and symptoms involving emotional state,Null,NA
1004,amr,binary,phecode,411,31945,Other signs and symptoms involving emotional state,Null,NA
1004,eur,binary,phecode,1585,97982,Other signs and symptoms involving emotional state,Null,NA
1005,afr,binary,phecode,1942,38570,Other symptoms,Null,NA
