Trait,Trait_Type,Meta_Group,Category,SubCategory,Description,num_samples.META,num_cases.META,num_controls.META,num_samples.AFR,num_cases.AFR,num_controls.AFR,num_samples.AMR,num_cases.AMR,num_controls.AMR,num_samples.EAS,num_cases.EAS,num_controls.EAS,num_samples.EUR,num_cases.EUR,num_controls.EUR,dbgap_cat.AFR,dbgap_cat.AMR,dbgap_cat.EAS,dbgap_cat.EUR,dbgap_cat.META,dbgap_cat.pheno
A1C_Max_INT,qt,ALL,Labs,Labs,"hemoglobin A1c (HbA1c, maximum, inv-norm transformed)",492335,NA,NA,98772,NA,NA,49229,NA,NA,5477,NA,NA,338857,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
A1C_Mean_INT,qt,ALL,Labs,Labs,"hemoglobin A1c (HbA1c, mean, inv-norm transformed)",492283,NA,NA,98735,NA,NA,49225,NA,NA,5475,NA,NA,338848,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
A1C_Min_INT,qt,ALL,Labs,Labs,"hemoglobin A1c (HbA1c, minimum, inv-norm transformed)",491836,NA,NA,98578,NA,NA,49152,NA,NA,5466,NA,NA,338640,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Albumin_Max_INT,qt,ALL,Labs,Labs,"albumin (maximum, inv-norm transformed)",542272,NA,NA,110326,NA,NA,53290,NA,NA,5708,NA,NA,372948,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Albumin_Mean_INT,qt,ALL,Labs,Labs,"albumin (mean, inv-norm transformed)",542276,NA,NA,110320,NA,NA,53287,NA,NA,5707,NA,NA,372962,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Albumin_Min_INT,qt,ALL,Labs,Labs,"albumin (minimum, inv-norm transformed)",542320,NA,NA,110337,NA,NA,53293,NA,NA,5708,NA,NA,372982,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
AlcDrinkConv,binary,ALL,Surveys,Smoking,Do you drink alcohol? ,295808,140209,155599,34528,18855,15673,19557,9569,9988,2241,1219,1022,239482,110566,128916,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE
ALT_Max_INT,qt,ALL,Labs,Labs,"alanine transaminase (ALT, maximum, inv-norm transformed)",584062,NA,NA,115123,NA,NA,56102,NA,NA,6054,NA,NA,406783,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
ALT_Mean_INT,qt,ALL,Labs,Labs,"alanine transaminase (ALT, mean, inv-norm transformed)",583982,NA,NA,115128,NA,NA,56001,NA,NA,6050,NA,NA,406803,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
ALT_Min_INT,qt,ALL,Labs,Labs,"alanine transaminase (ALT, minimum, inv-norm transformed)",583801,NA,NA,115132,NA,NA,55858,NA,NA,6027,NA,NA,406784,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
