File: A1C_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.3853e-01	1.2013e-01	2.1777e+01	1.8884e+01	2.5325e-01
020222_ATAC_Stim_UT	6.4117e-03	1.2816e-01	1.0617e-01	1.9988e+01	1.6558e+01	2.3424e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-5.5765e-02	4.5132e-02	-9.9837e+01	8.0801e+01	1.9483e-01
ASoC_UT_11samp_WGS	4.8543e-04	3.1988e-03	2.8847e-02	6.5896e+00	5.9425e+01	9.2344e-01
MAFbin1	6.1034e-02	-2.8844e-02	6.2491e-02	-4.7259e-01	1.0239e+00	1.0701e-01
MAFbin2	5.9542e-02	1.1747e-01	6.2155e-02	1.9729e+00	1.0439e+00	3.6490e-01
MAFbin3	5.9394e-02	2.3484e-02	6.1433e-02	3.9539e-01	1.0343e+00	5.6144e-01
MAFbin4	6.0043e-02	4.2421e-02	7.0539e-02	7.0651e-01	1.1748e+00	7.9171e-01
MAFbin5	5.8625e-02	9.8851e-02	8.2654e-02	1.6862e+00	1.4099e+00	6.1759e-01
MAFbin6	5.9415e-02	6.1024e-02	6.6072e-02	1.0271e+00	1.1120e+00	9.7947e-01
MAFbin7	5.9469e-02	2.5589e-01	1.0013e-01	4.3028e+00	1.6837e+00	4.9621e-02
MAFbin8	5.9765e-02	2.4347e-04	1.0253e-01	4.0738e-03	1.7156e+00	5.6810e-01
MAFbin9	6.0284e-02	9.5117e-02	8.3916e-02	1.5778e+00	1.3920e+00	6.7606e-01
MAFbin10	5.8711e-02	-1.2786e-01	8.6680e-02	-2.1778e+00	1.4764e+00	5.2914e-02
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-7.7727e-02	5.4867e-01	-3.8425e+04	2.7124e+05	8.7827e-01
MAF_Adj_LLD_AFR	1.6675e-03	-5.4716e-01	2.7401e-01	-3.2814e+02	1.6433e+02	9.3847e-02
Recomb_Rate_10kb	1.5151e+00	2.1369e+00	6.7050e-01	1.4104e+00	4.4254e-01	3.7317e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.7017e+00	3.4598e-01	8.3192e-01	7.7755e-02	4.0365e-02
Backgrd_Selection_Stat	1.8503e-01	2.3595e-01	4.7340e-02	1.2752e+00	2.5585e-01	1.7331e-01
CpG_Content_50kb	1.0097e-02	1.5104e-02	1.0980e-03	1.4958e+00	1.0874e-01	2.8829e-03

---

File: Albumin_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-1.4864e-01	1.1023e-01	-2.3366e+01	1.7328e+01	1.4785e-01
020222_ATAC_Stim_UT	6.4117e-03	-1.4356e-01	1.1693e-01	-2.2390e+01	1.8237e+01	2.0864e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-2.5532e-02	4.9982e-02	-4.5712e+01	8.9484e+01	6.1597e-01
ASoC_UT_11samp_WGS	4.8543e-04	-2.6122e-02	1.8703e-02	-5.3813e+01	3.8527e+01	1.6793e-01
MAFbin1	6.1034e-02	1.6009e-01	1.0184e-01	2.6230e+00	1.6687e+00	3.5153e-01
MAFbin2	5.9542e-02	1.1022e-01	1.3940e-01	1.8511e+00	2.3412e+00	7.1504e-01
MAFbin3	5.9394e-02	-4.6390e-02	1.0346e-01	-7.8106e-01	1.7419e+00	2.7030e-01
MAFbin4	6.0043e-02	9.3678e-02	1.0085e-01	1.5602e+00	1.6796e+00	7.3789e-01
MAFbin5	5.8625e-02	2.1548e-01	1.9163e-01	3.6756e+00	3.2688e+00	3.9428e-01
MAFbin6	5.9415e-02	9.3770e-03	1.2128e-01	1.5782e-01	2.0412e+00	6.7331e-01
MAFbin7	5.9469e-02	6.0748e-03	6.2661e-02	1.0215e-01	1.0537e+00	3.9879e-01
MAFbin8	5.9765e-02	9.6493e-02	1.0507e-01	1.6146e+00	1.7580e+00	7.2499e-01
MAFbin9	6.0284e-02	7.1441e-02	1.2841e-01	1.1851e+00	2.1300e+00	9.3017e-01
MAFbin10	5.8711e-02	-6.9764e-03	1.1099e-01	-1.1883e-01	1.8905e+00	5.5174e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	8.1405e-01	7.7317e-01	4.0243e+05	3.8222e+05	2.5388e-01
MAF_Adj_LLD_AFR	1.6675e-03	1.4502e-01	3.6274e-01	8.6970e+01	2.1753e+02	6.8773e-01
Recomb_Rate_10kb	1.5151e+00	3.1742e+00	1.1027e+00	2.0950e+00	7.2778e-01	1.6541e-01
Nucleotide_Diversity_10kb	4.4496e+00	4.5953e+00	4.8235e-01	1.0327e+00	1.0840e-01	7.6211e-01
Backgrd_Selection_Stat	1.8503e-01	1.5167e-01	4.1717e-02	8.1971e-01	2.2545e-01	4.2393e-01
CpG_Content_50kb	1.0097e-02	1.2932e-02	1.0393e-03	1.2807e+00	1.0293e-01	8.2453e-03

---

File: ALT_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	3.2127e-01	2.2993e-01	5.0503e+01	3.6145e+01	1.7629e-01
020222_ATAC_Stim_UT	6.4117e-03	3.8421e-01	2.6572e-01	5.9924e+01	4.1443e+01	1.5713e-01
